Data Import Template,,,,,,,,,,,,,,,,
Table:,Customer,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,
Please do not change the template headings.,,,,,,,,,,,,,,,,
First data column must be blank.,,,,,,,,,,,,,,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,,,,,,,,,,,,,
"For updating, you can update only selective columns.",,,,,,,,,,,,,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,,,,,,,,,,,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,,,,,,,,,,,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Column Labels,ID,Customer Name,Customer Type,Customer Group,Territory,Company,Series,Lead Ref,Default Price List,Default Currency,Customer Details,Credit Days,Credit Limit,Website,Default Sales Partner,Default Commission Rate
Column Name:,name,customer_name,customer_type,customer_group,territory,company,naming_series,lead_name,default_price_list,default_currency,customer_details,credit_days,credit_limit,website,default_sales_partner,default_commission_rate
Mandatory:,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Type:,Data (text),Data,Select,Link,Link,Link,Select,Link,Link,Link,Text,Int,Currency,Data,Link,Float
Info:,,,"One of: Company, Individual",Valid Customer Group,Valid Territory,Valid Company,"One of: CUST, CUSTMUM",Valid Lead,Valid Price List,Valid Currency,,Integer,,,Valid Sales Partner,
Start entering data below this line,,,,,,,,,,,,,,,,
,德里贸易,德里贸易,Company,商业客户,世界其余地区,尚腾进出口制造有限公司,,,,,,,,,,
,精密加工,精密加工,Company,商业客户,世界其余地区,尚腾进出口制造有限公司,,,,,,,,,,
,博凯科技,博凯科技,Company,商业客户,世界其余地区,尚腾进出口制造有限公司,,,,,,,,,,
,钟表世界,钟表世界,Company,商业客户,世界其余地区,尚腾进出口制造有限公司,,,,,,,,,,
,莱德深加工,莱德深加工,Company,商业客户,世界其余地区,尚腾进出口制造有限公司,,,,,,,,,,
,Big D Supermarkets,Big D Supermarkets,Company,商业客户,世界其余地区,尚腾进出口制造有限公司,,,,,,,,,,
,Adaptas,Adaptas,Company,商业客户,世界其余地区,尚腾进出口制造有限公司,,,,,,,,,,
,Nelson Brothers,Nelson Brothers,Company,商业客户,世界其余地区,尚腾进出口制造有限公司,,,,,,,,,,
,Landskip Yard Care,Landskip Yard Care,Company,商业客户,世界其余地区,尚腾进出口制造有限公司,,,,,,,,,,
,Buttrey Food & Drug,Buttrey Food & Drug,Company,商业客户,世界其余地区,尚腾进出口制造有限公司,,,,,,,,,,
,Fayva,Fayva,Company,商业客户,世界其余地区,尚腾进出口制造有限公司,,,,,,,,,,
,星耀无线,星耀无线,Company,商业客户,世界其余地区,尚腾进出口制造有限公司,,,,,,,,,,
,Crafts Canada,Crafts Canada,Company,商业客户,世界其余地区,尚腾进出口制造有限公司,,,,,,,,,,
,Consumers and Consumers Express,Consumers and Consumers Express,Company,商业客户,世界其余地区,尚腾进出口制造有限公司,,,,,,,,,,
,Netobill,Netobill,Company,商业客户,世界其余地区,尚腾进出口制造有限公司,,,,,,,,,,
,Choices,Choices,Company,商业客户,世界其余地区,尚腾进出口制造有限公司,,,,,,,,,,
,Chi-Chis,Chi-Chis,Company,商业客户,世界其余地区,尚腾进出口制造有限公司,,,,,,,,,,
,Red Food,Red Food,Company,商业客户,世界其余地区,尚腾进出口制造有限公司,,,,,,,,,,
,Endicott Shoes,Endicott Shoes,Company,商业客户,世界其余地区,尚腾进出口制造有限公司,,,,,,,,,,
